bill_id,doc_id
216488,287845
216489,105240
216489,179641
216489,191308
216489,271201
216490,104645
216490,233611
216490,277196
216490,294168
216491,105920
216491,223217
216491,233644
216491,269918
216492,99827
216492,212722
216492,278791
216493,141414
216493,217557
216493,220725
216493,274954
216493,293705
216494,141526
216494,214386
216494,271228
216495,141764
216496,142100
216496,216155
216496,230261
216496,293738
216497,135249
216498,142224
216499,98669
216499,98670
216499,98671
216499,241576
216499,282695
216500,142434
216501,99381
216501,223061
216501,233304
216501,293781
216502,101393
216502,192046
216503,100936
216504,142561
216505,132587
216506,142690
216507,143345
216508,137132
216508,202327
216508,241435
216508,294185
216509,143105
216510,143575
216511,143690
216512,144155
216512,207688
216512,233475
216512,293708
216513,145652
216514,102069
216514,202280
216514,288063
216515,100148
216516,146181
216517,101193
216518,97482
216519,102239
216520,106537
216521,117080
216522,134037
216523,97823
216524,101748
216524,173295
216524,216781
216524,288975
216525,97636
216526,160838
216527,98400
216528,98292
216529,99047
216530,98891
216531,139348
224394,137357
224394,232478
224395,137780
224396,143882
224396,233691
224396,279164
224397,145054
224398,145838
224399,146066
224400,144576
224401,119612
224402,102986
224402,230526
224402,241087
224402,288093
224403,103293
224403,230465
224403,240863
224403,293976
224404,142949
224405,142815
224406,143198
224406,232921
224406,234552
224406,287513
224407,103627
224407,202862
224407,288035
224408,105858
224409,105446
224410,145952
224411,105342
224412,137564
224413,97950
224414,101901
224414,173438
224414,173439
224414,238990
224415,97869
224416,138090
224417,138525
224418,138778
224419,108564
224419,159448
224419,212832
224419,243346
224420,98738
224421,98585
224422,99544
224422,233444
224423,99645
224423,232867
224423,234460
224423,271199
224423,293633
224424,103606
224424,233380
224424,279005
224424,293940
224425,106138
224426,98131
224426,233279
224427,99228
224427,215091
224428,99295
224428,244103
224429,132359
228369,134092
232638,140843
232639,98822
232640,141240
232641,141311
232641,232682
232641,235845
232642,99903
232643,100363
232644,141646
232645,105762
232646,107100
232647,107932
232648,108981
232649,109431
232649,207751
232650,103147
232650,206319
232650,221111
232650,241518
232651,109620
232651,235855
232651,239392
232651,283343
232651,293774
232652,122258
232652,200229
232652,206450
232652,275568
232653,123043
232654,114324
232654,213091
232654,266970
232654,293793
232655,113715
232656,115368
232657,117504
232658,119025
232659,120039
232660,119851
232661,121173
232662,120733
232663,120301
232664,100564
232664,220942
232664,241939
232665,100868
232666,121365
232666,233667
232666,281207
232667,122036
232668,101136
232669,100809
232670,104804
232671,108421
241157,101344
241158,104536
241159,106193
241159,242159
241160,101007
241161,106473
241162,105122
241163,105529
241164,104946
241165,107535
241165,214501
241165,239757
241165,277813
241166,107742
241166,206333
241166,221133
241166,239124
241167,106845
242711,121821
242711,207684
242711,214891
242711,271245
242711,288118
242712,123733
242713,122413
242713,216900
242713,233417
242713,287949
242714,100450
242714,198376
242714,202211
242715,101089
242716,138620
242717,101055
242718,124385
242719,123528
242720,124083
242721,100611
242721,214125
242721,272832
242721,293658
242722,140278
243410,105647
243410,190779
243410,275239
244642,110854
244643,110555
244644,110018
244644,222047
244644,233452
244644,278585
244645,111456
244646,110954
244647,103782
244647,202552
244647,275510
244647,293734
244648,111198
244649,111625
244650,112277
244651,111819
244652,112654
244653,112875
244654,112443
244654,199221
244654,283967
244654,289184
244655,113355
244655,197756
244655,206228
244655,243461
244656,319620
244657,111985
246367,114499
246367,223076
246368,113544
246369,115156
246370,116021
246371,114723
246372,114960
246373,116202
246374,116856
246375,115567
246376,118353
246377,116466
246378,118576
246379,117731
246380,118002
246380,233963
246380,277244
246381,118193
246382,319600
246382,319601
246795,101591
250635,106575
250662,107185
250717,106789
250717,213164
250717,240946
250788,97439
250789,97588
250802,98177
250847,98341
250855,98516
256993,115460
259786,138362
259924,138466
259924,197902
259924,212125
259924,239770
259987,138662
260009,138858
260023,139180
260023,232602
260023,236450
260023,285746
260023,294359
260123,139440
260123,221142
260123,241942
260123,294024
260162,139642
260181,139931
260301,140651
260325,140945
260327,141157
260404,141349
260600,152843
260734,152960
260767,152950
260767,230385
260767,270953
260767,293641
260771,148340
261016,153048
261300,153109
261300,236574
261300,240359
261300,285407
261558,153139
261628,153217
261796,153201
261796,233565
261801,153219
262070,153272
262328,153348
262775,144254
263650,153713
263650,207103
263650,280236
263715,153724
263715,234629
263715,288734
263763,153819
263914,153804
263969,153824
263969,239908
263969,294189
263980,153845
263996,153876
264013,153983
264090,153963
264322,153999
264322,235818
264500,154048
264500,215932
264517,154066
264537,154189
264722,151569
264807,151680
264833,151704
265500,152405
265500,220709
265500,272672
265500,293779
265534,152441
265899,159837
265900,159907
265900,241103
265909,159892
266248,159989
266248,206436
266248,235854
266248,285297
266257,160012
266335,160061
266335,241565
266336,160086
266373,160092
266406,160150
266698,158486
266842,158633
266842,241398
266857,158649
266912,158714
266912,233512
266916,158719
267258,159071
268890,164149
268891,164968
268892,164969
268892,220468
268892,278504
268893,164970
268895,164971
268896,164972
268897,164973
268897,214600
268897,287051
268897,292117
268898,164974
268899,164975
268900,164976
268900,243741
268900,276526
268900,291038
268901,164977
268902,164978
268902,207761
268902,234806
268902,286273
268902,294285
268905,164980
268906,164981
268907,164982
268907,234948
268908,164983
268908,199347
268909,164984
268909,177558
268910,164985
268911,164986
268911,223087
268912,164987
268912,233162
268913,164989
268914,164990
268915,164991
268915,215509
268915,241507
268915,294241
268916,164992
268917,164993
268917,208070
268918,164995
268918,173601
268918,214506
268918,281162
268919,164996
268920,164997
268921,164998
268921,215543
268921,278694
268922,165000
268923,165001
268924,165002
268926,165004
268927,165006
268930,165008
268930,203855
268930,219827
268930,278700
268931,165009
268931,240042
268932,165011
268933,165013
268933,234306
268934,165014
268934,180828
268935,165016
268936,165017
268937,165018
268937,190342
268937,205751
268937,241859
268938,165019
268939,165020
268940,165021
268941,165023
268943,165025
268944,165026
268946,201184
268948,165028
268949,165029
268953,165031
268954,165032
268955,165033
268955,216560
268955,278717
268955,289661
268958,165034
268958,200515
268958,234723
268959,165035
268960,165036
268961,165037
268962,165038
268963,165039
268963,234785
268963,241685
268963,289707
268964,165040
268964,190577
268964,242427
268965,165041
268965,234961
268965,279123
268965,289451
268967,165042
268967,213616
268967,234304
268968,165043
268968,189602
268968,220365
268968,282438
268969,165044
268971,165045
268972,165046
268972,214341
268972,282096
268973,165047
268973,215574
268975,165048
268976,165049
268978,165050
268979,165051
268981,165053
268982,165054
268985,165056
268986,165057
268988,165058
268989,165059
268990,165060
268990,165061
268991,165062
268992,165063
268993,165064
268997,165067
268999,165069
